"Water Quality Data of Ground Water in Andhra Pradesh Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1953","GROUND WATER AT
JAMNAGARBOREWELL OF RAMESHWAR
TEMPLE, NEAR RAMESHWAR CHOWK,
JAMNAGAR","GUJARAT","27","28","7.12","7.61","780","790","1","1","0.32","0.32","1.8","1.8","1.8","2","510","556","0.2","0.21","0.00049","0.00049"
"1954","GROUND WATER AT BHUJODHAV PARK
SOCIETY-2,PRAMUKH SWAMI NAGAR
ROAD,BEHIND ASHAPURA
SCHOOL,TA:BHUJ, DIST;KUTCH (WEST)","GUJARAT","30","33","7.66","7.94","3450","3770","1.7","1.8","0.32","0.6","1.8","1.8","1.8","2","2218","2486","0.51","0.56","",""
"1955","GROUND WATER AT PALANPURBEHIND
JILLA SEVA SADAN-2, NEAR JORAVAR
PALACE, PALANPUR, DIST-BANASKANTHA","GUJARAT","26","27","7.37","7.57","1827","1952","1","1","0.9","1.59","2","2","2","2","960","964","0.26","0.36","0.00049","0.00049"
"1956","GROUND WATER AT
MEHASANAMODHERA GIDC, TAL & DIST :
MEHSANA","GUJARAT","29","29","8.06","8.06","1225","1225","1","1","1.2","1.2","1.8","1.8","1.8","1.8","792","792","0.26","0.26","0.00049","0.00049"
"1957","GROUND WATER AT SIDDHPUR
(DIST.PATAN)AHMEDABAD- PALANUR
HIGHWAY, TAVADIYA CROSSING, NEAR
MADHIVAI, SIDDPUR, DIST-PATAN","GUJARAT","27","27","7.66","7.7","1590","1664","1","1","0.6","0.9","2","2","2","2","810","956","0.89","1.46","0.00049","0.00049"
"1958","GROUND WATER AT
HIMATNAGARBOREWELL OF
HIMATNAGAR NAGARPALIKA, AT.
HIMATNAGAR, DIST. SABARKANTHA","GUJARAT","25","26","7.21","7.6","740","938","1","1","0.77","0.9","1.8","2","1.8","2","430","502","0.22","0.99","0.00049","0.00049"
"1959","GROUND WATER AT NADIADBOREWELL
OF SANTRAM MANDIR, NADIAD,DIST:
KHEDA","GUJARAT","24","24","7.68","7.68","1611","1611","","","6.9","6.9","1.8","1.8","1.8","1.8","1132","1132","","","0.00049","0.00049"
"1960","GROUND WATER AT DAHODWELL AT
HINDU DHARAMASHALA, STATION ROAD,
DAHOD","GUJARAT","26","27","7.74","7.94","800","883","1.1","1.3","0.96","1.92","1.8","1.8","1.8","1.8","510","590","0.76","1.5","0.00049","0.00049"
"1961","GROUND WATER AT GODHARAWELL AT
OFFICE OF PANCHMAHAL INDUSTRIES
FADERATION, NEAR CIRCUIT HOUSE,
GODHRA","GUJARAT","26","27","7.06","7.14","764","938","1.2","1.4","1.82","3.32","1.8","1.8","1.8","1.8","550","682","0.81","0.89","0.00049","0.00049"
"1962","VADODARA (INDUSTRIAL-
NANDESARI)GIDC-NANDESARI","GUJARAT","28","28","7.3","7.58","3240","4066","1.6","2.7","3.46","8.6","1.8","1.8","1.8","1.8","2428","3856","0.82","0.82","0.00049","0.00049"
"1964","PANDESARA (INDSTRIAL)
SURATPANDESARA GIDC, SURAT","GUJARAT","27","32","7.62","8.02","4166","7748","2.4","2.5","0.32","0.34","1.8","1.8","1.8","1.8","2458","4494","0.2","0.2","0.00049","0.00049"
"1967","ATUL, VILLAGE G.W, (VALSAD)B/W AT
ATUL VILLAGE G.W","GUJARAT","28","29","7.49","8","1603","1631","1","1","0.33","0.4","1.8","1.8","1.8","1.8","952","1096","0.2","0.34","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1968","VAPI INDUSTRIAL AREA (RAJASHTHAN
BHAVAN) U/S, VAPIB/W AT VAPI
INDUSTRIAL AREA U/S IN RAJASTHAN
BHAVAN
SILVASA RD, OPPOSITE GURUDWARA,
GIDC, VAPI, GUJARAT 396195","GUJARAT","28","29","7.95","8.03","663","764","1","1","0.32","0.43","1.8","1.8","1.8","1.8","366","456","0.27","0.36","",""
"1969","B/W AT COSTAL HIGHWAY CHAR RASTA,
FANSA, TA:UMBERGA N,
DIST:VALSADB/W AT COSTAL HIGHWAY
CHAR RASTA, FANSA, TA:UMBERGAON,
DIST:VALSAD","GUJARAT","28","28","7.86","8.06","906","906","1","1","0.32","0.49","1.8","1.8","1.8","1.8","452","520","0.2","0.4","",""
"1970","BOREWELL D/S TSDF SITE, GIDC
INDUSTRIAL AREA, VAPIB/W AT D/S TSDF
SITE
PLOT NO.4807, PHASE 4, GIDC, VAPI","GUJARAT","28","29","7.32","8.15","422","603","1","1","0.33","0.47","1.8","1.8","1.8","1.8","334","372","0.4","0.46","",""
"2083","BORE WELL OF CHHATRAL
GIDC.BOREWELL OF GIDC CHHATRAL,
PHASE I","GUJARAT","30","30","7.35","7.35","2388","2388","1","1","1.09","1.09","2","2","2","2","1362","1362","0.6","0.6","0.00049","0.00049"
"2084","BORE WELL OF PALSANA
VILLAGE.PALASANA,SURAT.","GUJARAT","29","30","7.84","8.11","1185","1331","2","2.3","0.32","0.34","1.8","1.8","1.8","1.8","700","772","0.2","0.22","0.00049","0.00049"
"2085","BORE WELL OF SANTEJ
VILLAGE.BOREWELL OF SANTEJ GRAM
PANCHAYAT","GUJARAT","38","38","6.82","6.82","2484","2484","1","1","0.33","0.33","2","2","2","2","1442","1442","0.36","0.36","0.00049","0.00049"
"2088","BORE WELL OF SACHIN GIDC.SACHIN
GIDC, SACHIN,SURAT","GUJARAT","30","30","7.09","7.15","2523","7422","2.2","2.8","0.32","0.35","1.8","1.8","1.8","1.8","1716","4306","0.2","0.27","0.00049","0.00049"
"2089","B/W NEAR INDL. AREA BORASARA &
NAVAPURA, DIST. SURAT.PLOT-202
,KIM,SURAT.","GUJARAT","30","30","7.28","7.44","3109","3408","2.4","2.4","0.32","0.32","1.8","1.8","1.8","1.8","1834","1976","0.2","0.2","0.00049","0.00049"
"2090","WELL AT OLPAD.OLPAD ,SURAT","GUJARAT","27","30","7.07","8.44","4690","13270","1","2.7","0.32","0.32","1.8","1.8","1.8","1.8","2876","8688","0.2","0.21","0.00049","0.00049"
"2091","BORE WELL OF NAVSARI GIDC
INDUSTRIES ASSOCIATION OFFICE.AT-
GIDC -KABILPORE,TA & DI - NAVSARI,
GUJARAT","GUJARAT","28","29","7.13","7.73","1883","2080","2.2","2.5","0.37","0.37","2","2","2","2.1","1092","1226","0.2","0.25","0.00049","0.00049"
"2093","WELL OF BARDOLI AT REST
HOUSE.BARDOLI-VYARA ROAD","GUJARAT","29","29","6.96","7.46","2436","2814","2.1","2.2","0.32","0.33","1.8","1.8","1.8","1.8","1058","1412","0.2","0.21","0.00049","0.00049"
"2094","WELL AT ANKLESHWAR INDUSTRIAL
AREA (BORE WELL OF M/S INDUSTRIAL
CARBON AT ANKLESHWAR- RAJPIPLA
ROAD.ANKLESHWAR- RAJPIPLA ROAD,
NR GIDC ANKLESHWAR, DIST BHARUCH","GUJARAT","28","29","7.41","7.54","5200","5956","1","4","0.76","1.01","1.8","1.8","1.8","1.8","3338","4526","0.2","0.75","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"2095","BORE WELL OF NARSHIBHAI
BECHARBHAI ZALAWADIA @ 200 METER
AWAY FROM MADHAPAR STP TOWARD
ISWARIA MAHADEV TEMPLE,
MADHAPAR, DIST. RAJKOT.BORE WELL
OF NARSHIBHAI BECHARBHAI
ZALAVADIYA, NR. MADHAPAR STP
PLANT, RAJKOT","GUJARAT","29","30","7.24","7.56","1468","1680","1","1.1","1.35","1.4","1.8","1.8","1.8","1.8","1264","1464","0.24","1.25","0.00049","0.00049"
"2096","BORE WELL, SNR. VINAYAK JAL
SUDDHIKARAN SAHAKARI MANDALI LTD.
(CETP ), VILL. BAVLA, DIST.
AHMEDABAD.S. N. 644/1-4, VILL. BAVLA,
DIST. AHMEDABAD.","GUJARAT","30","31","7.37","7.45","5544","6318","1","1.2","0.69","1.04","2","2","2","2","3126","3642","1.54","1.84","0.00049","0.00049"
"2097","BORE WELL OF SOMESHWAR RICE MILL,
NR. BAVLA ECO PROJECT,(CETP), VILL.
BAVLA, DIST. AHMEDABAD.DEDHAL
ROAD, NR. BAVLA ECO PROJECT, (CETP ),
VILL. BAVLA, DIST. AHMEDABAD.","GUJARAT","26","29","6.77","7.59","6031","6554","1.2","1.2","0.48","0.78","2","2","2","2","3240","3798","0.76","1.42","0.00049","0.00049"
"2098","BORE WELL OF PIRANA TERMINAL
PUMPING STATION, PIRANA, NR. V. N.
BRIDGE, AHMEDABAD.NR. V.N BRIDGE,
PIRANA, AHMEDABAD","GUJARAT","30","30","7.44","7.44","3640","3640","1","1","0.51","0.51","2","2","2","2","2028","2028","0.85","0.85","",""
"3207","BOREWELL OF GIDC, JHAGADIAAT FINAL
PUMPING STATION, GIDC JHAGHADIA,
DIST BHARUCH","GUJARAT","30","30","7.34","7.34","2944","2944","1","1","0.97","0.97","1.8","1.8","1.8","1.8","1482","1482","0.3","0.3","",""
"3208","JILLA PANCHAYAT SCHOOL, NEAR GRAM
PANCHAYAT KATA FALIA, VILLAGE
NAMDHA, VALSADB/W AT JILLA
PANCHAY SCHOOL
NEAR GRAM PANCHAYAT KATA FALIA,
VILLAGE NAMDHA, VALSAD","GUJARAT","28","29","7.58","7.72","664","821","1","1","0.32","0.34","1.8","1.8","1.8","1.8","386","462","0.2","0.4","",""
"3209","BOREWELL OF GAYATRI PRAGNA
SCHOOL, BHADARWAD ROAD, BAZAR
FALIA, SARIGAM, VALSADBOREWELL OF
GAYATRI PRAGNA SCHOOL, BHADARWAD
ROAD, BAZAR FALIA, SARIGAM, VALSAD","GUJARAT","27","29","7.72","8.11","1123","1189","1","1","0.39","0.47","1.8","1.8","1.8","1.8","742","830","0.2","0.38","",""
"3210","BOREWELL AT PIRAMAL GLASS, VILLAGE
TARSADI AT KOSAMBA INDUSTRIAL
AREA, SURATKOSAMBA,SURAT","GUJARAT","30","30","7.06","7.96","3515","3541","2.1","2.2","0.32","0.34","1.8","1.8","1.8","1.8","2054","2074","0.2","0.21","0.00049","0.00049"
"3211","BOREWELL AT PRIMARY HEALTH CENTER,
KADODARA, SURATKADODARA,SURAT","GUJARAT","27","29","7.48","7.8","1843","1940","2.1","2.3","0.32","0.32","1.8","1.8","1.8","1.8","1086","1126","0.2","0.2","0.00049","0.00049"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"3212","BOREWELL NEAR CENTER OF EXCELLENCE
BUILDING, GIDC, VATVA,
AHMEDABADCENTER OF EXCELLENCE
BUILDING, PLOT NO 511 GIDC- PHASE IV,
VATVA, AHMEDABAD","GUJARAT","28","28","7.52","7.52","2395","2395","1","1","0.8","0.8","2","2","2","2","1442","1442","0.37","0.37","0.00049","0.00049"
"3214","BOREWELL NEAR GIDC ODHAV
INDUSTRIAL ASSOCIATION BUILDING,
GIDC, ODHAV, AHMEDABADODHAV
INDUSTRIAL ASSOCIATION BUILDING,
PLOT NO H 35, GIDC, ODHAV, ODHAV
ROAD AHMEDABAD","GUJARAT","28","28","7.97","7.97","2430","2430","1","1","0.46","0.46","2","2","2","2","1320","1320","0.2","0.2","0.00049","0.00049"
"3216","BOREWELL NEAR TSDF SITE OF GREEN
ENVIRONMNET SERVICES CO. OP.LTD,
VATVA, AHMEDABADTSDF SITE OF GREEN
ENVIRONMNET SERVICES CO. OP.LTD, S.
NO 89,90,91 VINZOL TAL DASKROI ,
AHMEDABAD","GUJARAT","28","28","7.72","7.72","2761","2761","1","1","0.48","0.48","2","2","2","2","1628","1628","0.8","0.8","0.00049","0.00049"
"3218","WELL OF MODASA, NAGAR PALIKA,
VARIGRUH, MODASAWELL OF MODASA,
NAGAR PALIKA, VARIGRUH, AT.
MODASA. DIST. ARVALLI","GUJARAT","25","28","6.86","7.33","1062","1342","1","1","0.62","0.76","1.8","2","1.8","2","610","752","0.31","0.76","0.00049","0.00049"
"3219","WELL OF IDAR, NAGAR PALIKA, SAKARIA,
IDARBOREWELL OF IDAR NAGARPALIKA,
AT. SAKARIA, TA. IDAR, DIST.
SABARKANTHA","GUJARAT","25","26","6.7","7.46","1461","1580","1","1","0.61","0.63","1.8","2","1.8","2","814","862","0.72","3.58","0.00049","0.00049"
"3220","BOREWELL OF GIDC-NADIAD AT GIDC
OFFICE, GIDC NADIAD, KHEDABOREWELL
OF GIDC-NADIAD AT GIDC OFFICE, GIDC
NADIAD, KHEDA","GUJARAT","32","32","8.1","8.1","2712","2712","","","6.48","6.48","1.8","1.8","1.8","1.8","1680","1680","","","0.00049","0.00049"
"3221","BOREWELL OF TOWN RAJPIPLA,
DIST.NARMADANAGARPALIKA OFFICE,
AT RAJPIPLA, DIST NARMADA","GUJARAT","33","34","7.11","7.67","940","1158","1","1","0.32","0.32","1.8","20","1.8","92","588","938","0.2","0.55","",""
"3222","BOREWELL OF GIDC, PANOLIAT WATER
TREATMENT PLANT , GIDC PANOLI, DIST
BHARUCH","GUJARAT","35","35","8.37","8.37","400","400","1","1","0.65","0.65","1.8","1.8","1.8","1.8","220","220","1.01","1.01","",""
"3223","BOREWELL KADI INDUSTRIAL AREAKADI
GIDC, TAL: KADI, DIST : MEHSANA","GUJARAT","32","32","7.67","7.67","1778","1778","1","1","1.33","1.33","1.8","1.8","1.8","1.8","1084","1084","0.51","0.51","0.00049","0.00049"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"3224","DEESA BOREWELLMAIN WATER TANK,
BESIDE BHANASALI HOSPITAL, NEAR
SARDAR GARDEN, DEESA, DIST-
BANASKANTHA","GUJARAT","26","27","7.5","7.53","1080","1137","1","1","0.48","9.67","2","2","2","2","578","604","0.28","0.64","0.00049","0.00049"
"3225","VISNAGAR BOREWELLVISNAGAR GIDC,
TAL : VISNAGAR, DIST: MEHSANA","GUJARAT","29","29","7.75","7.75","1917","1917","1","1","0.7","0.7","","","","","1122","1122","0.62","0.62","0.00049","0.00049"
"3226","PATAN BOREWELLWATER PUMPING
STATION, GANDHIBAG, JANTA HOSPITAL
ROAD, PATAN, DIST-PATAN","GUJARAT","27","27","7.7","7.97","2308","2412","1","1","0.43","0.84","2","2","2","2","1396","1450","0.41","2.22","0.00049","0.00049"
"3227","VIJAPUR (RANASAN)
BOREWELLRANASAN GIDC, VILL:
RANASAN, TAL : VIJAPUR, DIST:
MEHSANA","GUJARAT","30","30","7.54","7.54","3015","3015","1","1","0.75","0.75","1.8","1.8","1.8","1.8","1802","1802","0.43","0.43","0.00049","0.00049"
"3228","GIDC, HALOL, PANCHMAHALBORE WELL
OF M/S. SAFARI INDUSTRIES, GIDC,
HALOL, DIST. PNCHMAHAL","GUJARAT","26","27","7.31","7.33","2569","3098","1.3","1.6","2.96","6.24","1.8","1.8","1.8","1.8","1960","2100","0.82","1.31","0.00049","0.00049"
"3229","GIDC, DAHOD, DAHODHAND PUMP OPP.
M/S STAR REDIATOR, CHAKALIYA ROAD,
GIDC, DAHOD, DIST. DAHOD","GUJARAT","26","27","6.96","7.19","1284","1382","1.2","1.3","3.12","8.18","1.8","1.8","1.8","1.8","890","902","0.85","1.3","0.00049","0.00049"
"3230","BOREWELL OF GIDC, JUNAGADHPLOT NO.
317, GIDC-II, DOLATPARA, AT:JUNAGADH,
TAL:JUNAGADH, DIST:JUNAGADH","GUJARAT","28","31","7.33","7.36","1267","2312","1","1.1","1.33","1.33","1.8","1.8","1.8","1.8","912","1752","0.48","1.13","0.00049","0.00049"
"3232","BOREWELL OF GIDC, ANTALIA WATER
SUPPLY, BILLIMORA, GANDEVIAT- GIDC -
ANTALIA, TA- GANDEVI, DI - NAVSARI,
GUJARAT.","GUJARAT","30","30","7.25","8.22","2488","2860","2.4","2.5","0.34","0.34","2","2","2","2.1","1468","1660","0.2","0.23","0.00049","0.00049"
"3233","BOREWELL OF KALIAWADI GRID ROAD,
NAVSARIAT - KALIYAWADI, NAVSARI
CITY, TA & DI - NAVSARI, GUJARAT. ","GUJARAT","28","29","7.48","8.11","2255","2562","2.4","2.7","0.33","0.33","2","2","2","2.1","1308","1512","0.22","0.26","0.00049","0.00049"
"3234","BOREWELL NERA TSDF OF NANDESARI
ENVIRO CONTROL LIMITED, NADESARI,
VADODARATSDF SITE OF NANDESARI","GUJARAT","28","28","6.96","7.58","6568","8212","1.8","2.9","1.32","1.34","1.8","1.8","1.8","1.8","5998","7132","0.86","0.91","0.00049","0.00049"
"3235","BOREWELL OF GIDC KALOL, B/H GIDC
OFFICE, GIDC, KALOL,
GANDHINAGARBOREWELL OF KALOL
GIDC","GUJARAT","29","29","7.3","7.3","2424","2424","1","1","0.33","0.33","2","2","2","2","1376","1376","0.36","0.36","0.00049","0.00049"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"3236","BOREWELL OF M/S ALFA ECA (I) LTD.,
UNIT-1, SR.NO. 249, UMA IND. ESTATE,
VASNA , IYAVA, SANAND,
AHMEDABADSR.NO. 249, UMA IND.
ESTATE, VASNA , IYAVA, SANAND,
AHMEDABAD","GUJARAT","28","28","7.03","7.48","3807","3816","1","1","0.53","0.87","2","2","2","2","1958","2182","0.36","1.05","0.00049","0.00049"
"3237","BOREWELL OF L & T LTD., PLOT NO.
144/146, SARKHEJ-BAVLA ROAD,
SANAND, AHMEDABAD PLOT NO.
144/146, SARKHEJ-BAVLA ROAD,
SANAND, AHMEDABAD","GUJARAT","29","29","7.42","7.42","2078","2078","1","1","0.5","0.5","2","2","2","2","1068","1068","0.63","0.63","0.00049","0.00049"
"3238","BOREWELL OF GIDC KANSARIBORE WELL
OF GIDC KANSARI,
IN THE PREMISES OF GIDC WATER
SUPPLY TANK, GIDC KANSARI, TA.
KHAMBHAT, DIST. ANAND","GUJARAT","29","29","7.84","8.1","4650","4726","1","1.1","0.32","5.5","1.8","1.8","1.8","1.8","3076","3098","0.62","0.92","0.00049","0.00049"
"3239","BOREWELL OF GIDC, SOJITRABOREWELL
OF GIDC,
SOJITRA IN THE PREMISES OF GIDC
WATER SUPPLY TANK, GIDC-SOJITRA, TA.
SOJITRA, DIST. ANAND.","GUJARAT","29","29","7.71","8.32","2996","3340","1","1.2","0.32","8.12","1.8","1.8","1.8","1.8","2004","2104","0.67","0.71","0.00049","0.00049"
"3240","BOREWELL OF AJI GIDC ASSOCIATION
OFFICE, PLOT NO. C-1/2, ROAD NO -B NR.
ASHISH METAL, RAJKOTBORE WELL OF
AUSTIN AUTO ENG. AJI GIDC, RAJKOT","GUJARAT","29","30","7.19","7.49","1210","1362","1","1","1.35","1.4","1.8","1.8","1.8","1.8","916","1032","0.2","0.44","0.00049","0.00049"
"3241","BOREWELL NEAR MUNICIPAL SOLID
WASTE SITE, NAKARWADI, RAJKOT","GUJARAT","29","30","7.1","7.54","1496","2210","1","1.2","1.35","1.4","1.8","1.8","1.8","1.8","1492","1568","0.31","0.53","0.00049","0.00049"
"3244","BOREWELL NEAR TSDF OF BHARUCH
ENVIRO INFRASTRUCTURE LIMITED,
ANKLESHWAR, BHARUCHAT BEIL TSDF
SITE, GIDC ANKLESHWAR, DIST BHARUCH","GUJARAT","28","29","7.11","7.11","3666","4896","1","1","0.32","3.68","1.8","1.8","1.8","1.8","2270","2904","0.2","0.67","",""
"3245","BOREWELL AT DHANGADHRA NEAR
DHANGADHRA CHEMICALSBOREWELL AT
DHRANGADHRA, NEAR DCW LIMITED,
DHRANGADHRA, TAL. DHRANGADHRA,
DIST. SURENDRANAGAR","GUJARAT","26","28","7.36","7.48","2160","5547","1","1","1.35","1.7","1.8","1.8","1.8","1.8","1708","3748","0.57","1.13","0.00049","0.00049"
"3246","BOREWELL OF GIDC OFFICE, SHANKAR
TEKRI, UDHYOGNAGAR,
JAMNANGARBORWELL OF GIDC
ASSOCIATION OFFICE, JAMNAGAR","GUJARAT","27","29","7.05","7.52","2350","2595","1.2","1.4","0.32","0.32","1.8","1.8","2","2","1678","1858","0.21","0.22","0.00049","0.00049"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"3247","BOREWELL OF SHRI MAHAVIR METAL
CRAFT PVT. LTD., PLOT NO. 3059, ROAD
NO.6, NR. MAHAVIR CIRCLE, PHASE-III,
GIDC, DARED, JAMNAGARPLOT NO. 3059,
ROAD NO.6, NR. MAHAVIR CIRCLE, PHASE
III, GIDC, DARED, JAMNAGAR","GUJARAT
-","27","29","7.05","7.05","2350","2520","1.3","1.5","0.32","0.32","1.8","1.8","2","2","1658","1786","0.2","0.23","0.00049","0.00049"
"4411","BOREWELL OF MR. HITENDRABHAI
LAKHMANBHAI KER SHIV SAI PARK, NEW
SMASHAN ROAD, GANDHINAGARSHIV
SAI PARK, NEW SMASHAN ROAD,
GANDHINAGAR","GUJARAT","27","27","7.82","8.11","1750","1940","1","1","0.32","0.32","1.8","1.8","2","2","1164","1360","0.2","0.21","0.00049","0.00049"
"4412","BOREWELL OF SHRI KANKESHWAR
MAHADEV MANDIR, OPP. MSW
DUMPSITE, VIBHAPAROPP. MSW
DUMPSITE, VIBHAPAR","GUJARAT","27","28","6.55","7.53","3600","3762","1.1","1.6","0.32","0.32","1.8","1.8","2","2","2580","2646","0.22","0.23","0.00049","0.00049"
"4413","B/W OF JASHWANTBHAI PARMAR, S. NO.
18 AT: VILLAGE KALAMSAR, TA
KHAMBHATB/W OF JASHWANTBHAI
PARMAR S. NO. 
18, NR.KHODIYAR PURA, VILL.
KALAMSAR, TA. KHAMBHAT,DIST.
ANAND","GUJARAT","28","29","8.19","8.36","1186","1222","1","1.2","0.32","7","1.8","1.8","1.8","1.8","798","812","0.58","0.76","0.00049","0.00049"
"4416","BORE WELL AT VORAGAMDINEAR MSW
SITE OF VADODARA MUNICIPAL
CORPORATION","GUJARAT","28","28","7.94","8.33","1374","2045","1.2","1.3","0.32","1.18","1.8","1.8","1.8","1.8","912","1284","0.96","1.03","0.00049","0.00049"
"4422","BORE WELL OF ITI COLLAGE OPP, M/S
PALIWAL MILK AT MOTA SONELA,
MODASA ROAD, TAL, LUNAVADA, DIST.
MAHISAGARBORE WELL OF ITI COLLAGE,
MOTASONELA, TAL. LUNAWADA, DIST.
MAHISAGAR","GUJARAT","26","27","7.49","7.56","705","1550","1","1.2","0.32","6.6","1.8","1.8","1.8","1.8","480","944","0.58","0.86","0.00049","0.00049"
"Water Quality Data of Ground Water in Haryana Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"4836","TUBEWELL NO. 1, NEAR UPSTREAM
GHAGGAR RIVER, VILLAGE CHIALI","HARYANA","","","7.8","8.5","","","","","0.4","0.7","","","1.8","1.8","356","554","","","",""
"4837","TUBEWELL NO. 2, NEAR GURUDWARA,
VILLAGE BHATIA","HARYANA","","","7.9","8.7","","","","","0.6","0.7","1.8","1.8","1.8","1.8","386","584","","","",""
"4839","TUBEWELL AT PRITHLA, PALWAL","HARYANA","39","39","8.06","8.06","4260","4260","1","1","4.1","4.1","","","","","2340","2340","1.1","1.1","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
