"Station
Code","Name of the monitoring location","State","Temperature
(°C)","Dissolved
Oxygen
"30077","RIVER RAMGANGA AT ROAD BRIDGE SHERKOT,
DIST.BIJNAUR (U.P.)","UTTAR
PRADESH","16","31","5.1","10.5","7.6","7.9","180","344","1.0","8.2","0.32","1.01","2","7800","2000","13000","",""
"30078","RIVER RAMGANGA AT
KALAGARHBARRAGE,KALAGARH,DIST,PAUDHIGADHWAL
(U.K.)","UTTARAKHAND","16","31","6.8","9.1","7.5","7.9","130","198","1.0","6.0","0.32","0.32","2","490000","4500","1300000","",""
"1064","RIVER RAMGANGA AT KANNAUJ (BEFORE CONF.), U.P","UTTAR
PRADESH","18","39","6.2","10.9","7.9","8.3","293","582","3.2","4.6","","","4600","17000","7000","22000","2","4"
"1065","RIVER KALINADI NEAR GUMATIYA VILLAGE ,KANNAUJ
(BEFORE CONF.), U.P","UTTAR
PRADESH","18","39","5.5","8.5","7.6","8.2","222","554","3.7","5.6","","","4100","14000","7900","20000","2","9"
"1480","RIVER KALINADI AT U/S OF GULAOTHI TOWN IN
BULANDSAHAR, U.P.","UTTAR
PRADESH","19","29","0.3","0.3","7.6","7.8","423","1079","42.0","62.0","","","1700000","4000000","3100000","4900000","",""
"2497","RIVER KALI EAST AT KHARKHODA-PARIKSHIT GARH
ROAD, VILL. KOL, MEERUT","UTTAR
PRADESH","15","22","0.3","0.3","7.4","7.6","440","650","32.0","42.0","26.00","34.00","63000","120000","94000","160000","",""
"2482","RIVER VARUNA AT RAMESHWAR, VARANASI","UTTAR
PRADESH","23","31","7.0","8.2","7.8","8.3","326","438","2.8","3.3","0.56","0.85","630","1300","1300","2200","390","630"
"2483","RIVER VARUNA B/C WITH GANGA AT VARANASI","UTTAR
PRADESH","23","31","2.7","4.5","7.2","7.6","514","692","6.6","16.6","1.56","2.16","13000","26000","22000","40000","7000","12000"
"2502","SHUKRA TAL GHAT (CONFLUENCE OF BANGANGA AND
SALONI RIVER), MUZAFFARNAGAR,","UTTAR
PRADESH","20","23","6.0","6.7","7.4","7.8","160","230","1.8","2.0","","","680","1100","1100","2100","",""
"1361","RIVER SAI AT UNNAO AFTER DRAIN OUTFALL, U.P.","UTTAR
PRADESH","19","32","5.6","8.0","7.5","8.1","5","4826","3.0","3.8","0.30","9.99","2000","4900","3900","7900","",""
"Station
Code","Name of the monitoring Location","State","Temperature
(°C)","Dissolved
Oxygen
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"","","","","> 5.0 mg/ L","6.5 - 8.5","","< 3.0 mg/ L","","< 2500 MPN/ 100 Ml","","< 500 MPN/ 100 Ml"
"2484","RIVER SAI AT JALALPUR, JAUNPUR","UTTAR
PRADESH","22","31","7.0","8.5","7.9","8.3","312","426","2.8","3.3","0.45","0.72","2100","3100","4000","4900","580","1700"
"1072","RIVER GOMTI AT VARANASI, RAJWARI U.P","UTTAR
PRADESH","21","30","6.8","8.3","7.9","8.3","338","438","2.7","3.2","0.58","0.76","2300","4600","4900","8400","940","2600"
"1350","RIVER GOMTI AT SITAPUR U/S DADNAMAU GHAT, U.P.","UTTAR
PRADESH","","","6.5","11.3","7.8","8.4","158","442","2.1","2.7","0.39","0.98","680","1300","1400","2600","",""
"1351","RIVER GOMTI AT LUCKNOW U/S AT WATER INTAKE
POINT, U.P.","UTTAR
PRADESH","","","4.4","10.2","7.6","8.3","218","487","2.9","4.0","0.38","0.63","2300","4600","4600","7000","",""
"1352","RIVER GOMTI AT LUCKNOW D/S PIPRAGHAT , U.P.","UTTAR
PRADESH","","","1.3","2.2","7.3","7.7","308","801","10.2","13.6","0.30","0.61","78000","130000","130000","220000","",""
"1353","RIVER GOMTI AT JAUNPUR D/S, U.P.","UTTAR
PRADESH","22","31","6.7","8.0","7.9","8.2","342","440","2.9","3.5","0.60","0.82","3100","7000","6300","11000","1100","3100"
"10083","RIVER GOMTI AT NEEMSAR U/S","UTTAR
PRADESH","","","6.3","11.2","7.7","8.4","164","451","2.2","2.8","0.33","0.65","780","1700","1700","2700","",""
"10084","RIVER GOMTI AT NEEMSAR D/S","UTTAR
PRADESH","","","5.9","11.0","7.7","8.3","170","469","2.4","3.0","0.42","0.66","1100","2200","2200","3400","",""
"10085","RIVER GOMTI AT BHATPUR U/S","UTTAR
PRADESH","","","5.7","10.9","7.7","8.3","189","480","2.5","3.2","0.41","1.55","1200","2400","2400","3500","",""
"10086","RIVER GOMTI AT BHATPUR D/S","UTTAR
PRADESH","","","5.1","10.5","7.6","8.3","203","494","2.7","3.6","0.43","1.56","1700","3300","3200","4900","",""
"10087","RIVER GOMTI AT GAUGHAT U/S","UTTAR
PRADESH","","","4.5","10.1","7.5","8.2","217","486","2.9","4.0","0.33","0.64","2300","4900","4600","7900","",""
"10088","RIVER GOMTI AT GAUGHAT D/S","UTTAR
PRADESH","","","4.2","9.8","7.5","8.2","226","498","3.0","4.1","0.31","0.65","2400","4900","4900","7900","",""
"10089","RIVER GOMTI AT MOHMEAK U/S","UTTAR
PRADESH","","","2.5","4.3","7.5","7.9","258","748","7.0","9.8","0.34","0.68","40000","70000","61000","110000","",""
"10090","RIVER GOMTI AT MOHMEAK D/S","UTTAR
PRADESH","","","2.2","3.7","7.4","7.8","272","765","7.5","10.6","0.37","0.79","45000","79000","68000","130000","",""
"10091","RIVER GOMTI AT PIPRAGHAT U/S","UTTAR
PRADESH","","","1.5","2.6","7.3","7.7","294","788","9.6","13.0","0.30","0.59","68000","110000","110000","200000","",""
"10092","RIVER GOMTI AT PIPRAGHAT D/S","UTTAR
PRADESH","","","1.2","2.1","7.3","7.6","309","802","10.2","13.6","0.30","0.62","78000","130000","130000","220000","",""
"10093","RIVER GOMTI AT GANGAGANJ U/S","UTTAR
PRADESH","","","2.7","5.3","7.5","7.9","269","741","6.5","9.4","0.30","1.42","35000","68000","54000","92000","",""
"10094","RIVER GOMTI AT GANGAGANJ D/S","UTTAR
PRADESH","","","3.0","5.8","7.5","8.0","258","726","6.2","9.0","0.86","1.46","24000","49000","49000","79000","",""
"10095","RIVER GOMTI AT SULTANPUR U/S","UTTAR
PRADESH","20","25","7.0","8.9","8.1","8.2","335","447","3.2","4.2","0.80","0.87","1700","2800","2700","5400","",""
"10096","RIVER GOMTI AT SULTANPUR D/S","UTTAR
PRADESH","20","25","6.7","8.7","8.1","8.2","341","476","3.4","4.3","0.80","0.90","2200","2800","4700","7900","",""
"10097","RIVER GOMTI AT JAUNPUR U/S","UTTAR
PRADESH","22","31","7.1","8.5","8.0","8.3","334","434","2.4","2.9","0.56","0.70","580","1100","1100","1700","310","580"
"1363","RIVER RAPTI AFTER CONFL. OF R. HONIN NR.
DOMINGARH RLY BRIDGE, GORAKHPUR, U.P.","UTTAR
PRADESH","12","22","7.8","8.4","7.7","8.4","256","2800","2.3","3.2","","","4000","12000","12000","19000","",""
"1076","RIVER GHAGHARA NEAR CHAPRA, RIVILGANJ, MANJHI,
SARAN","BIHAR","14","33","7.1","8.5","7.2","8.2","182","334","1.0","2.6","0.30","0.81","700","22000","1100","28000","2","33"
"1355","RIVER GHAGHARA AT TURTIPAR,DEORIA D/S, U.P.","UTTAR
PRADESH","14","24","7.5","8.2","7.6","8.4","370","418","2.0","3.6","","","6000","12000","14000","22000","",""
"Station
Code","Name of the monitoring Location","State","Temperature
(°C)","Dissolved
Oxygen
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"","","","","> 5.0 mg/ L","6.5 - 8.5","","< 3.0 mg/ L","","< 2500 MPN/ 100 Ml","","< 500 MPN/ 100 Ml"
"2492","RIVER GHAGHRA AT BARHALGANJ, GORAKHPUR","UTTAR
PRADESH","14","24","7.2","8.2","7.8","8.4","358","398","2.8","4.0","","","6000","14000","14000","24000","",""
"1359","RIVER RIHAND AT RENUKUT U/S, U.P.","UTTAR
PRADESH","20","29","8.0","9.4","8.1","8.4","234","288","1.7","2.2","0.36","0.54","170","330","330","630","140","230"
"1360","RIVER RIHAND AT RENUKUT D/S, U.P.","UTTAR
PRADESH","20","29","7.6","8.8","7.9","8.2","250","295","2.7","3.3","0.44","0.66","700","1400","1300","2600","580","940"
"1143","RIVER TONS AT CHAKGHAT, M.P.","MADHYA
PRADESH","20","32","7.1","7.6","7.4","8.4","241","492","1.3","2.0","0.96","1.17","2","2","36","49","2","2"
"1144","RIVER TONS AT MADHAVGARH, M.P.","MADHYA
PRADESH","24","30","6.4","7.2","7.4","7.9","494","1084","1.7","2.8","1.16","2.42","2","4","7","112","2","2"
"3328","RIVER TONS AT MADHAVGARH, NEAR PHED W/S INTAKE
POINT, SATNA","MADHYA
PRADESH","23","30","5.2","6.8","7.5","8.5","708","812","1.8","2.3","1.10","2.66","2","4","33","120","2","2"
"3853","RIVER TONS AT BASAMAN MAMA TEMPLE, NEAR
PURWA FALL, TEHSIL-
SEMARIYA, DIST- REWA","MADHYA
PRADESH","20","31","7.2","8.0","7.3","8.1","289","480","1.3","1.8","0.79","1.13","2","2","41","49","2","2"
"4609","RIVER TONS AT M.P-U.P BOUNDARY, BEFORE MIXING
RIVER BELAN CHAKGHAT REWA","MADHYA
PRADESH","20","29","6.8","7.8","7.3","7.8","232","456","1.2","2.0","0.56","16.46","2","2","39","49","2","2"
"5543","River BeeharÂ Khthuliya Intake Well Point ,Rewa","MADHYA
PRADESH","20","30","7.0","7.5","7.5","8.1","253","439","1.3","1.8","0.79","1.23","2","2","39","48","2","2"
"4611","RIVER GAMBHIR AT DAM SITE UJJAIN","MADHYA
PRADESH","23","24","7.1","7.6","7.2","7.9","210","433","1.6","2.0","0.32","0.81","2","2","46","480","2","2"
"1607","RIVER BASLI GOHAD DAM, GOHAD, M.P","MADHYA
PRADESH","20","27","7.0","7.7","7.2","7.7","410","720","1.2","2.1","0.47","1.44","3","6","20","27","",""
"2120","RIVER KALIASOT NEAR ROAD BRIDGE, MANDIDEEP","MADHYA
PRADESH","19","28","6.9","8.1","6.8","7.8","277","622","1.9","2.9","2.62","7.94","15","65","210","1100","2","2"
"2142","River KALISINDH NEAR ROAD BRIDGE SARANGPUR,
RAJGARH","MADHYA
PRADESH","19","26","5.8","11.4","8.0","8.9","300","687","1.0","4.0","1.34","26.43","6","63","120","430","2","2"
"4621","RIVER HATHNI NANPUR FATA DAM ALIRAJPUR","MADHYA
PRADESH","20","22","7.2","8.0","7.4","8.1","334","470","1.0","1.2","0.86","1.10","2","2","40","49","",""
"Station
Code","Name of the monitoring Location","State","Temperature
(°C)","Dissolved
Oxygen
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"","","","","> 5.0 mg/ L","6.5 - 8.5","","< 3.0 mg/ L","","< 2500 MPN/ 100 Ml","","< 500 MPN/ 100 Ml"
"3125","RIVER GANDAK GOPALGANJ PIPRAKOTHI ROAD BRIDGE
(DUMARIA GHAT)","BIHAR","14","32","7.3","8.7","7.4","8.2","159","349","1.0","2.5","0.30","2.33","790","13000","1300","24000","2","17"
"2568","RIVER GANDAK AT REWAGHAT, MUZAFFARPUR","BIHAR","12","33","7.4","8.6","7.4","8.1","224","341","1.0","1.9","0.30","0.63","1700","17000","3300","22000","2","23"
"10163","RIVER GANDAK AT ROAD BRIDGE, U/S HAJIPUR,
VAISHALI (BORDER OF SARAN & VAISHALI)","BIHAR","12","32","6.6","8.8","7.1","8.0","228","715","1.0","2.6","0.30","0.46","240","28000","540","35000","2","49"
"10126","RIVER GANDAK AT KONHARA GHAT, OPPOSITE
HARIHARNATH MANDIR,SONEPUR","BIHAR","12","32","6.0","8.2","7.2","8.0","231","406","1.0","6.2","0.30","0.40","330","54000","490","92000","2","49"
"1078","RIVER GANDAK AT SONEPUR NEAR HARIHARNATH
TEMPLE","BIHAR","10","32","6.4","8.6","7.0","8.0","232","323","1.0","2.0","0.30","0.90","130","35000","230","54000","2","33"
"1820","RIVER SIKRAHNA AT CHANPATIYA, NEAR CHANPATIYA
ROAD BRIDGE, WEST CHAMPARAN","BIHAR","17","36","0.5","7.9","7.2","8.2","356","646","2.0","6.0","0.30","1.39","3300","2200000","4900","3500000","7","130"
"2575","RIVER SIKRAHNA AT LAL PARSA, BETIAH, EAST
CHAMPARAN","BIHAR","16","36","3.4","7.9","7.3","8.1","268","451","1.8","2.9","0.30","1.25","2800","92000","3500","160000","7","350"
"3134","RIVER SIKRAHNA AT LAURIA, HARINAGAR ROAD BRIDGE","BIHAR","15","30","5.1","8.2","7.0","8.1","284","561","1.8","3.0","0.30","0.94","4900","54000","7900","92000","2","23"
"4291","RIVER SIKRAHNA LAURIA-NARKATIAGANJ ROAD BRIDGE,
WEST CHAMPARAN","BIHAR","16","30","1.5","8.2","7.1","8.0","291","1020","1.6","6.0","0.30","1.39","4900","92000","7000","160000","23","33"
"2562","RIVER BURHI GANDAK AT AKHARAGHAT,
MUZAFFARPUR","BIHAR","13","32","6.3","8.6","7.0","8.0","223","490","1.0","2.4","0.30","0.54","330","24000","490","35000","2","13"
"2570","RIVER BURHI GANDAK NEAR MAGARDAHI GHAT AT
SAMASTIPUR ROAD BRIDGE, SAMASTIPUR","BIHAR","15","32","7.3","8.3","7.1","8.0","208","425","1.0","2.5","0.30","1.02","1300","54000","5400","160000","2","23"
"3124","RIVER BURHI GANDAK U/S ROAD BRIDGE NH NEAR
ZERO MILE MUZAFFARPUR","BIHAR","13","33","6.7","8.9","7.3","8.0","209","453","1.0","2.0","0.30","0.61","45","22000","78","43000","2","23"
"4295","RIVER BURHI GANDAK AT KHAGARIA ROAD BRIDGE
BEFORE CONFLUENCE WITH GANGA , KHAGARIA","BIHAR","15","31","7.0","8.3","7.2","8.2","139","436","1.0","2.2","0.30","0.63","68","54000","110","92000","2","23"
"Station
Code","Name of the monitoring Location","State","Temperature
(°C)","Dissolved
Oxygen
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"","","","","> 5.0 mg/ L","6.5 - 8.5","","< 3.0 mg/ L","","< 2500 MPN/ 100 Ml","","< 500 MPN/ 100 Ml"
"4300","RIVER BURHI GANDAK AT LAL BAGLA GHAT, MOTIHARI
DHAKA ROAD, EAST CHAMPARAN","BIHAR","15","36","6.1","8.2","7.5","8.1","297","452","1.4","2.5","0.30","0.78","450","54000","780","92000","2","240"
"4403","RIVER BURHI GANDAK AT BARACHAKIA, EAST
CHAMPARAN","BIHAR","15","37","6.4","8.5","7.5","8.1","274","426","1.0","2.8","0.30","2.01","790","54000","1100","160000","2","94"
"1822","RIVER SIRSIYA AT RAXAUL,BIRGANJ CHECK POST ROAD
BRIDGE EAST CHAMPARAN","BIHAR","15","38","0.3","2.8","7.0","7.8","440","835","3.0","9.0","0.30","1.60","330","92000","940","160000","2","79"
"3136","RIVER SIRSIYA D/S RAXAUL (KOERIA TOLA), EAST
CHAMPARAN","BIHAR","15","37","0.3","2.6","7.1","7.7","467","823","3.0","10.0","0.30","1.48","490","92000","700","160000","2","240"
"2558","RIVER HARBORA D/S AT NARKATIAGANJ, WEST
CHAMPARAN","BIHAR","16","35","0.5","7.9","7.3","8.3","263","525","1.5","4.0","0.30","5.38","4900","92000","7000","160000","13","130"
"3126","RIVER HARBORA,U/S AT NARKATIAGANJ, WEST
CHAMPARAN","BIHAR","16","34","6.7","10.2","7.4","8.3","268","451","1.1","2.1","0.30","0.64","490","35000","790","54000","2","94"
"2566","RIVER KOSHI AT MADHEPURA","BIHAR","14","31","6.0","8.2","7.0","8.0","168","295","1.3","1.9","0.30","0.38","2","22000","2","28000","2","23"
"3137","RIVER KOSHI AT BEERPUR, SUPAUL","BIHAR","14","32","7.5","8.5","7.1","7.6","193","281","1.0","2.7","0.30","0.30","2","13000","2","24000","2","33"
"2565","RIVER KOSHI AT KURSHELA AT KATIHAR","BIHAR","14","31","7.0","8.4","7.2","7.8","137","291","1.0","2.7","0.30","0.80","79","35000","130","54000","2","33"
"1821","RIVER DAHA U/S RAJENDRA ROAD BRIDGE AT SIWAN","BIHAR","12","34","2.5","7.0","7.4","7.9","235","786","1.6","2.8","0.30","0.48","2","92000","2","160000","2","49"
"2560","RIVER DAHA D/S AT SASAMUSA, GOPALGANJ","BIHAR","21","29","3.9","7.5","7.3","7.9","281","478","1.6","3.0","0.30","0.44","790","13000","1100","24000","2","23"
"2561","RIVER DAHA AT ITWA BRIDGE, GOPALGANJ","BIHAR","13","30","5.6","7.8","7.3","7.8","279","556","1.1","2.7","0.30","0.49","2","140000","2","170000","2","79"
"3129","RIVER DAHA AT MEERGANJ NEAR BADARJHIMMI
BAZAR, GOPALGANJ","BIHAR","12","29","5.9","7.2","7.4","7.9","301","551","1.3","2.5","0.30","0.30","220","54000","350","92000","2","2"
"4292","RIVER DAHA U/S SASAMUSA, GOPALGANJ","BIHAR","21","28","3.5","7.7","7.4","7.7","309","530","1.3","2.8","0.30","0.34","13","24000","23","35000","2","70"
"4397","RIVER DAHA D/S AT RENUA, SIWAN","BIHAR","12","34","3.1","6.9","7.1","7.9","170","842","1.4","2.8","0.30","0.65","2400","92000","3500","160000","2","33"
"1823","RIVER DHOS AT SAHARGHAT, MADHUBANI","BIHAR","16","30","5.5","7.8","7.2","7.6","220","308","1.2","2.7","0.30","0.48","540","24000","920","35000","2","2"
"4405","RIVER DHOS AT MADHWAPUR, MADHUBANI","BIHAR","16","30","5.8","7.8","7.0","7.7","238","313","1.0","2.9","0.30","0.60","130","24000","170","35000","2","33"
"2559","RIVER RAMREKHA AT HARINAGAR, WEST CHAMPARAN","BIHAR","16","32","0.3","4.4","6.8","7.7","284","687","2.0","5.2","0.30","0.69","7900","92000","22000","160000","13","130"
"3130","RIVER RAMREKHA AT U/S HARINAGAR, WEST
CHAMPARAN","BIHAR","16","32","0.3","4.4","7.0","8.0","258","651","2.0","5.0","0.30","1.00","1300","92000","2400","160000","2","79"
"Station
Code","Name of the monitoring Location","State","Temperature
(°C)","Dissolved
Oxygen
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"","","","","> 5.0 mg/ L","6.5 - 8.5","","< 3.0 mg/ L","","< 2500 MPN/ 100 Ml","","< 500 MPN/ 100 Ml"
"3132","RIVER BAGMATI AT MUZAFFARPUR- SITAMARHI ROAD
BRIDGE, SITAMARHI","BIHAR","19","29","7.2","8.5","5.6","8.3","226","390","1.0","2.8","0.30","1.07","790","22000","1400","92000","2","24"
"3135","RIVER BAGMATI AT DARBHANGA, SAMASTIPUR ROAD
BRIDGE, DARBHANGA","BIHAR","12","33","6.9","8.5","7.3","8.1","257","404","1.0","2.1","0.30","3.13","2","35000","2","54000","2","17"
"2563","RIVER MANUSMAR AT RIGA, UPHRAULIA, SITAMARHI","BIHAR","19","30","7.2","8.1","7.3","8.2","222","464","1.3","2.5","0.30","0.35","170","11000","320","17000","2","31"
"3131","RIVER MANUSMAR U/S (RIGA), SITAMARHI","BIHAR","19","30","7.4","8.1","7.3","8.2","194","469","1.0","2.7","0.30","0.39","140","13000","210","17000","2","35"
"4402","RIVER MANUSMAR AT PARSHURAMPUR, RIGA -
BELSAND ROAD, SITAMARHI","BIHAR","19","29","7.1","7.8","7.5","8.1","212","487","1.0","1.6","0.30","0.32","330","24000","490","35000","2","33"
"2555","RIVER PUNPUN NEAR PATNA FATUHA ROAD BRIDGE,
FATUHA","BIHAR","18","35","0.3","6.9","7.1","8.1","245","1015","1.6","2.5","0.30","1.30","540","92000","1600","160000","2","220"
"3119","RIVER UNPUN NEAR PUNPUN ROAD BRIDGE, PUNPUN","BIHAR","18","32","6.9","8.1","7.5","8.1","288","490","1.0","2.8","0.30","0.46","2","92000","2","160000","2","33"
"3120","RIVER PUNPUN AT KINJAR ROAD BRIDGE, JEHANABAD-
ARWAL BORDER , JEHANABAD","BIHAR","18","32","6.2","8.4","7.4","7.9","304","512","1.3","2.8","0.30","0.60","1400","35000","2300","54000","2","2"
"4406","RIVER PUNPUN AT OBRA, AURANGABAD","BIHAR","18","31","6.5","9.8","7.1","7.9","222","610","1.0","2.6","0.30","0.82","3500","24000","5400","92000","2","94"
"4293","RIVER KOHRA U/S RAJ GHAT, MAJHAULIA, WEST
CHAMPARAN","BIHAR","15","34","4.7","8.3","7.2","8.1","250","609","1.4","2.7","0.30","0.79","3500","28000","5400","35000","4","240"
"4294","RIVER KOHRA D/S NEAR RAILWAY BRIDGE, MAJHAULIA,
WEST CHAMPARAN","BIHAR","15","34","3.0","6.8","7.2","8.0","265","724","1.5","5.0","0.30","0.82","700","54000","940","92000","2","240"
"4399","RIVER HARHA AT BAGHA, LAURIYA ROAD BRIDGE","BIHAR","15","30","6.5","9.2","7.4","8.0","231","414","1.3","2.8","0.30","0.99","4900","35000","7000","160000","2","79"
"4400","RIVER LAKHANDEI U/S SITAMARHI AT MEHANDI NAGAR","BIHAR","18","30","6.7","7.5","7.2","8.0","209","435","1.0","1.8","0.30","0.73","1700","54000","3500","160000","2","240"
"4401","RIVER LAKHANDEI D/S SITAMARHI AT PARORI ROAD
BRIDGE","BIHAR","18","31","2.1","7.3","7.2","8.0","219","553","1.0","2.7","0.30","1.03","490","92000","700","160000","2","240"
"4404","RIVER GANGI AT ARA, D/S","BIHAR","14","31","3.2","7.7","7.2","8.1","251","594","1.0","2.8","0.30","0.92","490","92000","940","160000","2","220"
"1824","RIVER PARMAR AT JOGBANI, ARARIA","BIHAR","15","31","7.2","8.2","7.2","7.7","158","319","1.0","2.5","0.30","1.12","1300","24000","1700","35000","2","130"
"2117","RIVER BICHIA,GOVINDGARH ROAD BRIDGE ,NEAR
INTAKE POINT,REWA","MADHYA
PRADESH","20","31","6.2","7.2","7.3","8.2","267","511","1.6","2.3","0.65","1.18","4","9","58","150","2","2"
"1433","RIVER SANKH AT TIGRA RESERVOIR, M.P.","MADHYA
PRADESH","16","25","7.0","7.9","7.0","7.7","128","620","1.4","1.8","0.70","1.31","2","7","12","26","",""
"Station
Code","Name of the monitoring Location","State","Temperature
(°C)","Dissolved
Oxygen
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"","","","","> 5.0 mg/ L","6.5 - 8.5","","< 3.0 mg/ L","","< 2500 MPN/ 100 Ml","","< 500 MPN/ 100 Ml"
"1075","RIVER SONE AT KOILWAR, NEAR MANDIR, BHOJPUR","BIHAR","15","29","7.3","8.6","7.3","7.7","141","253","1.0","2.4","0.30","1.28","1300","22000","1700","35000","2","12"
"3127","RIVER SONE AT BAHIYARA, BHOJPUR","BIHAR","15","32","7.8","8.9","7.2","7.8","180","280","1.0","2.9","0.30","0.35","2400","22000","3500","28000","2","70"
"4913","RIVER SONE AT ARWAL NEAR BALUGHAT (SAHAR)","BIHAR","17","32","6.5","10.2","7.0","7.8","135","390","1.1","3.3","0.30","0.71","490","54000","790","92000","2","49"
"3128","RIVER SONE AT NASIRIGANJ DAM, ROHTAS","BIHAR","17","34","6.8","9.5","7.3","7.8","113","360","1.0","2.2","0.30","1.38","110","13000","170","17000","2","20"
"4298","RIVER SONE AT ROAD BRIDGE-DEHRI-ON-SONE, ROHTAS","BIHAR","17","35","7.2","9.8","7.1","7.8","111","310","1.0","2.4","0.30","0.54","17","54000","22","160000","2","140"
"2556","RIVER SONE AT INDRAPURI DAM, DEHRI ON SONE,
ROHTAS","BIHAR","17","33","7.2","9.3","7.3","8.0","116","390","1.0","4.2","0.30","0.75","45","54000","68","92000","2","79"
"4407","RIVER SONE AT WATER INTAKE POINT BHARTIYA RAIL
BIJALI CO. LTD (BRBCL) NAVINAGAR, AURANGABAD","BIHAR","16","35","7.1","9.6","7.3","8.0","104","375","1.0","2.0","0.30","0.65","13","92000","23","160000","2","540"
"3121","RIVER SONE AT BANJARI NEAR BANJARI NEAR SUN
TEMPLE KALYANPUR, ROHTAS","BIHAR","18","35","7.2","10.5","7.1","7.8","123","426","1.0","2.6","0.30","0.87","45","54000","78","160000","2","110"
"30081","RIVER SONE AT ROAD BRIDGE CHOPAN,DIST-
SONEBHADRA (U.P.)","UTTAR
PRADESH","18","33","7.0","10.2","7.1","8.3","128","260","1.0","2.7","0.32","0.57","2","330000","6800","1300000","",""
"30082","RIVER SONE UPSTREAM TOWARDS DEORA, DIST-
SINGRAULI (M. P.)","MADHYA
PRADESH","18","33","7.5","9.8","7.5","8.3","117","258","1.0","2.2","0.32","0.32","2","490000","2000","2200000","",""
"4604","RIVER RIVER SONE AT VILLAGE- KHAIRPUR,(KUDHERI)
M.P- U.P.BOUNDARY, DISTT SIDHI","MADHYA
PRADESH","21","29","7.0","7.7","7.3","8.1","288","592","1.2","1.4","0.88","1.11","2","2","41","48","2","2"
"3834","RIVER SONE AT CHITAWAL NEAR ROAD BRIDGE
CHITRANGI, DIST
SINGROULI","MADHYA
PRADESH","27","27","7.5","7.5","8.4","8.4","590","590","2.3","2.3","4.14","4.14","2","2","75","75","",""
"3836","RIVER SONE ON KACHAN DAM NEAR IMILYA NORTH
COAL MINES VILL MAJHOULI, DIST SINGROULI","MADHYA
PRADESH","30","30","6.5","6.5","8.6","8.6","492","492","2.8","2.8","1.77","1.77","2","2","49","49","",""
"3851","RIVER SONE NEAR BHANVARSEN ROAD BRIDGE AFTER
CONFLUENCE OF BANAS RIVER, DIST SIDHI","MADHYA
PRADESH","22","29","7.2","7.7","7.2","7.9","298","368","1.2","1.4","0.81","1.12","2","2","43","47","2","2"
"3329","RIVER SONE AT CHURHAT,DISTT.SIDHI","MADHYA
PRADESH","21","30","7.0","7.6","7.2","7.8","292","474","1.2","1.6","0.91","1.17","2","2","33","58","2","2"
"Station
Code","Name of the monitoring Location","State","Temperature
(°C)","Dissolved
Oxygen
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"","","","","> 5.0 mg/ L","6.5 - 8.5","","< 3.0 mg/ L","","< 2500 MPN/ 100 Ml","","< 500 MPN/ 100 Ml"
